product_name,product_url,image_url,price,category,is_in_stock,measurements
Cinnabar Green Air Freshener Calming Aromatic Room Spray – 200ml,https://greenspoon.co.ke/product/cinnabar-green-calming-aromatic-room-spray-200ml/,https://greenspoon.co.ke/wp-content/uploads/2022/01/Greenspoon-cinnabar-aromatic-room-spray-calming-720x480.jpg,"KShs 1,479",Home,true,200ml
Dream Bees Tower Candle With Flower Imprints 11cm x 4cm,https://greenspoon.co.ke/product/dream-bees-tower-with-flower-imprints-11cm-x-4cm/,https://greenspoon.co.ke/wp-content/uploads/2024/12/greenspoon_dream_bees_tower_Brown-flowe-imprint-2301-720x480.jpg,"KShs 1,198",Home,true,
Wax &amp; Scents Eucalyptus &amp; Pine Candle – 220g,https://greenspoon.co.ke/product/wax-scents-english-pine-and-eucalyptus-candle-220g/,https://greenspoon.co.ke/wp-content/uploads/2024/07/greenspoon-Wax-scents-eucalyptus-1-of-1-2-720x480.jpg,"KShs 2,489",Home,true,220g
Cinnabar Green Relaxing Blend Massage Oil – 200ml,https://greenspoon.co.ke/product/cinnabar-green-relaxing-blend-massage-oil-200ml/,https://greenspoon.co.ke/wp-content/uploads/2023/05/CG-Massage-Relaxing-200ml-720x480.jpg,"KShs 1,449",Home &amp; Beauty,true,200ml
Cinnabar Green Air Freshener Wilderness Aromatic Room Spray – 200ml,https://greenspoon.co.ke/product/cinnabar-green-wilderness-aromatic-room-spray-200ml/,https://greenspoon.co.ke/wp-content/uploads/2019/01/Greenspoon-Wilderness-Aromatic-Room-Spray-Cinnabar-Green-720x480.jpg,"KShs 1,479",Home,true,200ml
Vegany Plain Tofu (Extra Firm) – 500g,https://greenspoon.co.ke/product/vegany-plain-tofu-500g/,https://greenspoon.co.ke/wp-content/uploads/2022/05/Tofu-Plain-500g-Left-1400x933px-720x480.jpg,KShs 379,Meat Alternatives,true,500g
Vegany Garlic &amp; Herbs Tofu – 400g,https://greenspoon.co.ke/product/vegany-garlic-herbs-tofu-400g/,https://greenspoon.co.ke/wp-content/uploads/2022/09/Tofu-Garlic-400g-Left-1400x933px-720x480.jpg,KShs 379,Meat Alternatives,true,400g
Vegany Salt &amp; Pepper Tofu – 400g,https://greenspoon.co.ke/product/vegany-salt-pepper-tofu-250g/,https://greenspoon.co.ke/wp-content/uploads/2022/08/Tofu-Black-Pepper-400g-Left-1400x933px-720x480.jpg,KShs 379,Meat Alternatives,true,400g
Quishi Chinese Organic Tofu – 450g,https://greenspoon.co.ke/product/quishi-chinese-organic-tofu-450g/,https://greenspoon.co.ke/wp-content/uploads/2024/04/greenspoon-orgarnic-tofu-450g-1-of-1-2.jpg,KShs 198,Meat Alternatives,true,450g
Wati’s Original Tempeh – 350g,https://greenspoon.co.ke/product/watis-original-tempeh-350g/,https://greenspoon.co.ke/wp-content/uploads/2022/03/Greenspoon-Kenya-Tempeh-Watis-720x480.jpg,KShs 429,Meat Alternatives,true,350g
Brown’s Lemon And Garlic Hummus – 200g,https://greenspoon.co.ke/product/browns-lemon-and-garlic-hummus-200g/,https://greenspoon.co.ke/wp-content/uploads/2022/05/Greenspoon-Lemon-and-Garlic-Hummus-Brown_s-720x480.jpg,KShs 619,Dairy,true,200g
Mtofu Chorizo Style Tofu – 180g,https://greenspoon.co.ke/product/mtofu-chorizo-style-tofu-180g/,https://greenspoon.co.ke/wp-content/uploads/2021/08/Greenspoon-Drinks-18-720x480.jpg,KShs 389,Meat Alternatives,true,180g
Healthy Kajuju Falafel Balls – 180g,https://greenspoon.co.ke/product/healthy-kajuju-classic-falafel-2-pieces/,https://greenspoon.co.ke/wp-content/uploads/2020/11/Greenspoon-Kenya-Falafel-Healthy-Kajuju-min-2-720x480.jpg,KShs 469,Main,true,180g
Mtofu Natural Tofu – 200g,https://greenspoon.co.ke/product/mtofu-natural-tofu-200g/,https://greenspoon.co.ke/wp-content/uploads/2021/08/Greenspoon-Drinks-16-720x480.jpg,KShs 329,Meat Alternatives,true,200g
Mtofu Herbal Tofu – 180g,https://greenspoon.co.ke/product/mtofu-herbal-tofu-180g/,https://greenspoon.co.ke/wp-content/uploads/2021/08/Greenspoon-Drinks-17-720x480.jpg,KShs 329,Meat Alternatives,true,180g
